Abbasidia  (4016,3180)  (4108,3226) (4186,3226) (4030,3226) (4030,3286) (4108,3286) (4186,3286) (4030,3346) (4108,3346) (4186,3346) (4030,3406) (4108,3406) (4186,3406)  (4035,3411) | overflowToLeft=false 
Abyssinia  (3732,4330)  (3820,4378) (3898,4378) (3742,4378) (3742,4438) (3820,4438) (3898,4438)  (3742,4498) (3820,4498) (3898,4498)  (3742,4558) (3820,4558) (3898,4558)  (3747,4563) (3664,4378)  (3664,4438)  (3664,4498)  (3664,4558)  (3669,4563) | overflowToLeft=false 
Adelaide  (7617,5993) (7708,6041)  (7786,6041)  (7630,6041) (7630,6101)  (7708,6101)  (7786,6101)  (7630,6161)  (7708,6161)  (7786,6161)  (7630,6221)  (7708,6221)  (7786,6221) (7552,6041) (7552,6101) (7552,6161) (7552,6221) (7557,6226) | overflowToLeft=false   
Aden  (4261,3997) (4320,4044) (4398,4044)  (4242,4044)  (4242,4104)  (4320,4104)  (4398,4104)  (4242,4164)  (4320,4164)  (4398,4164)  (4164,4104)   (4164,4164)   (4468,4044)  (4468,4104) (4169,4169) | overflowToLeft=false 
Aden Gulf  (4648,4363)  (4726,4363)  (4570,4363)  (4570,4423)  (4648,4423)  (4726,4423)  (4570,4483) (4648,4483)  (4726,4483) (4570,4543)  (4648,4543)  (4726,4543)  (4570,4603)  (4648,4603)  (4726,4603)  (4575,4608) | overflowToLeft=false  
Adriatic Sea  (3338,3378) (3416,3378) (3260,3378) (3260,3438) (3338,3438) (3416,3438) (3260,3498) (3338,3498) (3416,3498) (3260,3558) (3338,3558) (3190,3378) (3190,3438) (3190,3498) (3190,3558)   |  overflowToLeft=false 
Afghanistan  (4994,2856)  (5118,2904)  (5196,2904)  (5040,2904)  (5040,2964) (5118,2964)  (5196,2964)  (5040,3024) (5118,3024)  (5040,3084)  (4972,2904)  (4972,2964)  (4972,3024)  (4972,3084)  (4977,3091) | overflowToLeft=false 
Algoa Bay  (4348,6168)  (4426,6168)  (4270,6168) (4270,6228) (4348,6228)  (4426,6228) (4270,6288) (4348,6288)  (4426,6288)  (4270,6348) (4348,6348)  (4426,6348)  (4192,6168)   (4192,6228)  (4192,6288)  (4192,6348)   (4197,6353) | overflowToLeft=false
Alps  (2540,2837)
Altay  (5176,2091)  (5240,2139)  (5318,2139)  (5162,2139)  (5162,2199)  (5240,2199)  (5318,2199)  (5162,2259)  (5240,2259)  (5318,2259)  (5162,2319)  (5240,2319)  (5318,2319)  (5167,2324)  | overflowToLeft=false 
Amur (6776,1885) (6838,1933) (6916,1933) (6760,1933) (6760,1993) (6838,1993) (6916,1993) (6760,2053) (6838,2053) (6916,2053) (6682,1933) (6682,1993) (6682,2053) (6994,1933) (6994,1993) (6994,2053) | overflowToLeft=false
Anatolia  (3468,3031)  (3554,3079) (3632,3079) (3476,3079)  (3476,3139) (3554,3139) (3632,3139)  (3476,3199) (3554,3199) (3632,3199)  (3476,3277) (3554,3277) (3632,3277) (3398,3079) (3398,3199) (3398,3277) (3403,3302)  | overflowToLeft=false 
